Rank,Club,Squad size,Average age,Foreigners,Market value,Total market value,League,Season
,FC Augsburg,35,26.1,19,€1.43m,€50.08m,Bundesliga,2014
,SC Paderborn 07,28,26.6,9,€1.02m,€28.50m,Bundesliga,2014
,Bayern Munich,34,26.4,19,€17.53m,€596.05m,Bundesliga,2015
,Borussia Dortmund,30,25.4,13,€11.77m,€352.95m,Bundesliga,2015
,VfL Wolfsburg,35,25.9,19,€7.73m,€270.43m,Bundesliga,2015
,Bayer 04 Leverkusen,33,24.7,20,€7.31m,€241.30m,Bundesliga,2015
,FC Schalke 04,32,25.4,14,€7.04m,€225.20m,Bundesliga,2015
,Borussia Mönchengladbach,29,25.9,18,€6.42m,€186.15m,Bundesliga,2015
,TSG 1899 Hoffenheim,30,25.4,15,€3.01m,€90.20m,Bundesliga,2015
,1.FSV Mainz 05,39,25.8,22,€2.18m,€85.15m,Bundesliga,2015
,VfB Stuttgart,34,25.4,19,€2.39m,€81.18m,Bundesliga,2015
,Hertha BSC,34,25.7,15,€2.32m,€78.93m,Bundesliga,2015
,Eintracht Frankfurt,35,25.5,21,€2.19m,€76.60m,Bundesliga,2015
,FC Augsburg,39,26.4,21,€1.94m,€75.83m,Bundesliga,2015
,1.FC Köln,25,25.4,12,€2.75m,€68.63m,Bundesliga,2015
,SV Werder Bremen,39,25.1,19,€1.66m,€64.68m,Bundesliga,2015
,Hamburger SV,35,26.3,19,€1.81m,€63.20m,Bundesliga,2015
,Hannover 96,39,24.9,21,€1.56m,€60.83m,Bundesliga,2015
,FC Ingolstadt 04,29,25.7,16,€1.23m,€35.65m,Bundesliga,2015
,SV Darmstadt 98,30,27.7,8,€838k,€25.15m,Bundesliga,2015
,Bayern Munich,33,26.6,19,€17.05m,€562.55m,Bundesliga,2016
,Borussia Dortmund,31,25.6,17,€12.60m,€390.65m,Bundesliga,2016
,Bayer 04 Leverkusen,39,24.3,21,€6.80m,€265.03m,Bundesliga,2016
,FC Schalke 04,39,25.3,22,€5.57m,€217.25m,Bundesliga,2016
,VfL Wolfsburg,43,25.0,21,€4.72m,€203.08m,Bundesliga,2016
,RB Leipzig,33,24.0,17,€5.34m,€176.33m,Bundesliga,2016
,Borussia Mönchengladbach,33,24.9,17,€4.91m,€162.18m,Bundesliga,2016
,TSG 1899 Hoffenheim,33,25.0,15,€4.20m,€138.63m,Bundesliga,2016
,1.FC Köln,30,25.8,14,€3.87m,€116.15m,Bundesliga,2016
,1.FSV Mainz 05,39,24.8,23,€2.48m,€96.73m,Bundesliga,2016
,Hertha BSC,33,25.4,16,€2.93m,€96.53m,Bundesliga,2016
,SV Werder Bremen,41,26.0,21,€2.18m,€89.45m,Bundesliga,2016
,SC Freiburg,36,25.5,14,€2.41m,€86.73m,Bundesliga,2016
,Hamburger SV,38,25.0,21,€2.12m,€80.48m,Bundesliga,2016
,Eintracht Frankfurt,35,24.6,22,€2.07m,€72.30m,Bundesliga,2016
,FC Augsburg,37,26.8,21,€1.78m,€65.85m,Bundesliga,2016
,FC Ingolstadt 04,32,25.3,15,€1.21m,€38.63m,Bundesliga,2016
,SV Darmstadt 98,39,27.2,17,€666k,€25.98m,Bundesliga,2016
,Bayern Munich,38,25.2,19,€21.36m,€811.85m,Bundesliga,2017
,Borussia Dortmund,35,25.5,20,€16.41m,€574.20m,Bundesliga,2017
,RB Leipzig,28,24.5,19,€13.33m,€373.30m,Bundesliga,2017
,Bayer 04 Leverkusen,27,25.7,14,€13.24m,€357.35m,Bundesliga,2017
,FC Schalke 04,29,26.1,18,€9.46m,€274.35m,Bundesliga,2017
,TSG 1899 Hoffenheim,36,24.6,14,€5.91m,€212.75m,Bundesliga,2017
,Borussia Mönchengladbach,35,25.1,19,€5.52m,€193.25m,Bundesliga,2017
,VfL Wolfsburg,33,24.8,20,€4.35m,€143.60m,Bundesliga,2017
,VfB Stuttgart,34,25.2,18,€3.96m,€134.70m,Bundesliga,2017
,Hertha BSC,32,25.4,16,€4.11m,€131.45m,Bundesliga,2017
,Eintracht Frankfurt,36,25.5,24,€3.50m,€126.15m,Bundesliga,2017
,SV Werder Bremen,33,26.0,19,€3.25m,€107.15m,Bundesliga,2017
,SC Freiburg,36,26.0,14,€2.79m,€100.60m,Bundesliga,2017
,FC Augsburg,33,26.2,17,€3.04m,€100.45m,Bundesliga,2017
,1.FSV Mainz 05,33,25.9,19,€2.98m,€98.35m,Bundesliga,2017
,Hannover 96,30,26.4,12,€3.10m,€92.95m,Bundesliga,2017
,1.FC Köln,38,24.9,19,€2.41m,€91.73m,Bundesliga,2017
,Hamburger SV,34,25.0,17,€1.84m,€62.40m,Bundesliga,2017
,Bayern Munich,32,26.2,15,€24.53m,€784.88m,Bundesliga,2018
,Borussia Dortmund,34,24.9,21,€18.92m,€643.25m,Bundesliga,2018
,RB Leipzig,34,23.0,22,€14.09m,€479.00m,Bundesliga,2018
,Bayer 04 Leverkusen,31,25.1,16,€13.85m,€429.40m,Bundesliga,2018
,TSG 1899 Hoffenheim,38,24.9,23,€8.85m,€336.25m,Bundesliga,2018
,Eintracht Frankfurt,47,25.4,29,€6.67m,€313.40m,Bundesliga,2018
,Borussia Mönchengladbach,30,25.7,16,€8.81m,€264.30m,Bundesliga,2018
,VfL Wolfsburg,36,25.5,23,€6.37m,€229.25m,Bundesliga,2018
,FC Schalke 04,39,25.6,24,€5.67m,€221.30m,Bundesliga,2018
,Hertha BSC,36,24.9,20,€5.77m,€207.63m,Bundesliga,2018
,SV Werder Bremen,33,26.2,18,€5.09m,€168.05m,Bundesliga,2018
,1.FSV Mainz 05,35,25.3,20,€4.56m,€159.73m,Bundesliga,2018
,VfB Stuttgart,34,25.4,17,€4.23m,€143.75m,Bundesliga,2018
,FC Augsburg,40,25.4,19,€3.48m,€139.25m,Bundesliga,2018
,SC Freiburg,34,25.5,8,€3.59m,€122.10m,Bundesliga,2018
,Fortuna Düsseldorf,34,26.7,17,€2.79m,€94.95m,Bundesliga,2018
,Hannover 96,37,26.2,18,€2.47m,€91.43m,Bundesliga,2018
,1.FC Nuremberg,29,25.7,12,€1.88m,€54.40m,Bundesliga,2018
,Bayern Munich,38,24.2,21,€20.46m,€777.33m,Bundesliga,2019
,Borussia Dortmund,37,25.0,20,€17.68m,€654.05m,Bundesliga,2019
,RB Leipzig,38,23.4,26,€15.01m,€570.48m,Bundesliga,2019
,Bayer 04 Leverkusen,29,25.7,18,€13.76m,€398.95m,Bundesliga,2019
,Borussia Mönchengladbach,34,26.3,18,€7.49m,€254.70m,Bundesliga,2019
,TSG 1899 Hoffenheim,37,26.8,25,€6.11m,€226.05m,Bundesliga,2019
,FC Schalke 04,33,24.6,20,€6.71m,€221.58m,Bundesliga,2019
,Hertha BSC,42,24.7,23,€5.17m,€217.20m,Bundesliga,2019
,Eintracht Frankfurt,35,27.0,24,€5.97m,€208.98m,Bundesliga,2019
,VfL Wolfsburg,38,25.2,24,€5.46m,€207.60m,Bundesliga,2019
,SV Werder Bremen,36,26.6,18,€3.75m,€135.13m,Bundesliga,2019
,SC Freiburg,30,26.3,10,€4.09m,€122.65m,Bundesliga,2019
,1.FSV Mainz 05,35,24.4,19,€3.47m,€121.58m,Bundesliga,2019
,FC Augsburg,37,26.0,18,€3.05m,€112.95m,Bundesliga,2019
,1.FC Köln,35,25.7,15,€2.81m,€98.48m,Bundesliga,2019
,Fortuna Düsseldorf,37,26.7,17,€1.94m,€71.78m,Bundesliga,2019
,1.FC Union Berlin,34,26.7,11,€1.21m,€41.20m,Bundesliga,2019
,SC Paderborn 07,32,25.9,15,€903k,€28.90m,Bundesliga,2019
,Bayern Munich,45,24.4,22,€19.07m,€858.23m,Bundesliga,2020
,Borussia Dortmund,32,25.5,17,€19.64m,€628.40m,Bundesliga,2020
,RB Leipzig,32,24.1,23,€17.97m,€574.95m,Bundesliga,2020
,Bayer 04 Leverkusen,33,25.6,22,€11.31m,€373.25m,Bundesliga,2020
,Borussia Mönchengladbach,33,26.2,19,€9.11m,€300.75m,Bundesliga,2020
,Eintracht Frankfurt,36,26.2,24,€7.48m,€269.15m,Bundesliga,2020
,VfL Wolfsburg,30,26.4,20,€8.56m,€256.83m,Bundesliga,2020
,Hertha BSC,38,24.9,22,€6.02m,€228.88m,Bundesliga,2020
,TSG 1899 Hoffenheim,37,25.4,26,€6.17m,€228.15m,Bundesliga,2020
,VfB Stuttgart,32,24.4,18,€5.91m,€189.25m,Bundesliga,2020
,1.FSV Mainz 05,36,25.4,18,€4.54m,€163.30m,Bundesliga,2020
,SC Freiburg,30,25.7,13,€4.64m,€139.10m,Bundesliga,2020
,FC Schalke 04,45,25.3,27,€2.73m,€123.05m,Bundesliga,2020
,1.FC Köln,36,25.3,19,€3.28m,€118.20m,Bundesliga,2020
,SV Werder Bremen,33,25.7,17,€3.39m,€111.98m,Bundesliga,2020
,FC Augsburg,31,26.4,20,€3.00m,€93.05m,Bundesliga,2020
,1.FC Union Berlin,33,26.4,10,€2.49m,€82.05m,Bundesliga,2020
,Arminia Bielefeld,33,25.4,15,€1.72m,€56.73m,Bundesliga,2020
,Bayern Munich,38,25.2,20,€20.80m,€790.33m,Bundesliga,2021
,Borussia Dortmund,44,24.5,25,€12.70m,€558.98m,Bundesliga,2021
,RB Leipzig,34,24.3,23,€14.68m,€498.95m,Bundesliga,2021
,Bayer 04 Leverkusen,35,25.1,25,€13.00m,€455.05m,Bundesliga,2021
,VfL Wolfsburg,37,25.7,24,€7.28m,€269.30m,Bundesliga,2021
,Borussia Mönchengladbach,31,25.8,14,€7.64m,€236.80m,Bundesliga,2021
,Eintracht Frankfurt,36,25.7,23,€6.35m,€228.75m,Bundesliga,2021
,TSG 1899 Hoffenheim,40,25.3,22,€5.29m,€211.43m,Bundesliga,2021
,SC Freiburg,32,25.5,12,€5.51m,€176.35m,Bundesliga,2021
,VfB Stuttgart,39,24.0,23,€4.47m,€174.23m,Bundesliga,2021
